web-scraper-order,web-scraper-start-url,birth-place,native-language,other-languages,age-sex,age-of-english-onset,english-method,english-residence,length-residence,mp3-link,website-tag
"1676624519-2783","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=418","birth place: pretoria, transvaal, south africa (map)","afrikaans","other language(s): gujarati sindhi french","age, sex: 43, male","age of english onset: 4","english learning method: naturalistic","english residence: usa","length of english residence: 20.7 years","/soundtracks/afrikaans3.mp3","afrikaans3"
"1676624522-2784","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=417","birth place: chamiancy, vilejka, belarus (map)","belarusan","other language(s): russian","age, sex: 25, male","age of english onset: 11","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/belarusan1.mp3","belarusan1"
"1676624524-2785","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=416","birth place: chicago, illinois, usa (map)","english","other language(s): spanish","age, sex: 19, male","age of english onset: 0","english learning method: naturalistic","english residence: usa","length of english residence: 19 years","/soundtracks/english107.mp3","english107"
"1676624527-2786","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=415","birth place: rumbek, boherat, sudan (map)","dinka","other language(s): arabic","age, sex: 39, male","age of english onset: 33","english learning method: academic","english residence: usa","length of english residence: 5.5 years","/soundtracks/dinka1.mp3","dinka1"
"1676624529-2787","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=414","birth place: cotonou, benin (map)","yoruba","other language(s): french german","age, sex: 20, male","age of english onset: 20","english learning method: academic","english residence: usa","length of english residence: 0.25 years","/soundtracks/yoruba1.mp3","yoruba1"
"1676624532-2788","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=413","birth place: bamako, mali (map)","bambara","other language(s): french","age, sex: 22, male","age of english onset: 12","english learning method: academic","english residence: usa","length of english residence: 0.25 years","/soundtracks/bambara3.mp3","bambara3"
"1676624534-2789","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=412","birth place: lamentin, martinique (map)","french","other language(s): spanish creole","age, sex: 21, male","age of english onset: 11","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/french9.mp3","french9"
"1676624537-2790","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=411","birth place: rishon, israel (map)","hebrew","other language(s): french spanish german","age, sex: 33, female","age of english onset: 9","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/hebrew6.mp3","hebrew6"
"1676624540-2791","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=410","birth place: maracaibo, zulia, venezuela (map)","spanish","other language(s): french","age, sex: 18, male","age of english onset: 10","english learning method: academic","english residence: canada","length of english residence: 0.5 years","/soundtracks/spanish29.mp3","spanish29"
"1676624542-2792","https://accent.gmu.edu/browse_language.php?function=detail&speakerid=409","birth place: mosta, malta (map)","maltese","other language(s): italian german french","age, sex: 30, female","age of english onset: 4","english learning method: academic","english residence:","length of english residence: 0 years","/soundtracks/maltese1.mp3","maltese1"
